riksmote,arende,arende_punkt,ledamot_namn,parti,valkrets,rost,avser,voteringstyp,registrerat,dok_id
2025/26,AU10,3,Gulan Avci,L,Stockholms län,Ja,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Anna Vikström,S,Stockholms län,Ja,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Alexandra Anstrell,M,Stockholms län,Ja,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Sanne Lennström,S,Uppsala län,Ja,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Gustaf Lantz,S,Uppsala län,Frånvarande,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Malin Östh,V,Östergötlands län,Avstår,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Teresa Carvalho,S,Östergötlands län,Ja,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Azra Muranovic,S,Jönköpings län,Ja,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Niklas Sigvardsson,S,Jönköpings län,Ja,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Heléne Björklund,S,Blekinge län,Ja,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Ann-Christine Frohm,SD,Blekinge län,Ja,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Ann-Charlotte Hammar Johnsson,M,Skåne läns västra,Ja,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Pia Trollehjelm,SD,Skåne läns västra,Ja,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Lars Andersson,SD,Skåne läns södra,Ja,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Hanna Gunnarsson,V,Skåne läns södra,Avstår,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Jan Riise,MP,Hallands län,Nej,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Carita Boulwén,SD,Hallands län,Ja,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Björn Tidland,SD,Göteborgs kommun,Ja,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Magnus Berntsson,KD,Göteborgs kommun,Ja,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Patrik Jönsson,SD,Västra Götalands läns södra,Ja,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Ingemar Kihlström,KD,Västra Götalands läns södra,Frånvarande,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Runar Filper,SD,Värmlands län,Ja,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Mikael Dahlqvist,S,Värmlands län,Ja,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Elin Nilsson,L,Örebro län,Ja,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Matilda Ernkrans,S,Örebro län,Ja,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Olle Thorell,S,Västmanlands län,Ja,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Oscar Sjöstedt,SD,Västmanlands län,Ja,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Saila Quicklund,M,Jämtlands län,Ja,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Josef Fransson,SD,Jämtlands län,Ja,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
